"","DATE","ATM","Cash"
"363",2009-07-30,"ATM3",0
"364",2009-07-30,"ATM4",8
"365",2009-07-31,"ATM1",103
"366",2009-07-31,"ATM2",126
"367",2009-07-31,"ATM3",0
"368",2009-07-31,"ATM4",705
"369",2009-08-01,"ATM1",90
"370",2009-08-01,"ATM2",92
"371",2009-08-01,"ATM3",0
"372",2009-08-01,"ATM4",496
"373",2009-08-02,"ATM1",68
"374",2009-08-02,"ATM2",81
"375",2009-08-02,"ATM3",0
"376",2009-08-02,"ATM4",143
"377",2009-08-03,"ATM1",85
"378",2009-08-03,"ATM2",49
"379",2009-08-03,"ATM3",0
"380",2009-08-03,"ATM4",429
"381",2009-08-04,"ATM1",99
"382",2009-08-04,"ATM2",146
"383",2009-08-04,"ATM3",0
"384",2009-08-04,"ATM4",895
"385",2009-08-05,"ATM1",86
"386",2009-08-05,"ATM2",79
"387",2009-08-05,"ATM3",0
"388",2009-08-05,"ATM4",611
"389",2009-08-06,"ATM1",13
"390",2009-08-06,"ATM2",37
"391",2009-08-06,"ATM3",0
"392",2009-08-06,"ATM4",71
"393",2009-08-07,"ATM1",116
"394",2009-08-07,"ATM2",136
"395",2009-08-07,"ATM3",0
"396",2009-08-07,"ATM4",594
"397",2009-08-08,"ATM1",105
"398",2009-08-08,"ATM2",111
"399",2009-08-08,"ATM3",0
"400",2009-08-08,"ATM4",342
"401",2009-08-09,"ATM1",123
"402",2009-08-09,"ATM2",78
"403",2009-08-09,"ATM3",0
"404",2009-08-09,"ATM4",736
"405",2009-08-10,"ATM1",114
"406",2009-08-10,"ATM2",57
"407",2009-08-10,"ATM3",0
"408",2009-08-10,"ATM4",463
"409",2009-08-11,"ATM1",127
"410",2009-08-11,"ATM2",106
"411",2009-08-11,"ATM3",0
"412",2009-08-11,"ATM4",1157
"413",2009-08-12,"ATM1",111
"414",2009-08-12,"ATM2",38
"415",2009-08-12,"ATM3",0
"416",2009-08-12,"ATM4",455
"417",2009-08-13,"ATM1",34
"418",2009-08-13,"ATM2",15
"419",2009-08-13,"ATM3",0
"420",2009-08-13,"ATM4",284
"421",2009-08-14,"ATM1",151
"422",2009-08-14,"ATM2",119
"423",2009-08-14,"ATM3",0
"424",2009-08-14,"ATM4",572
"425",2009-08-15,"ATM1",110
"426",2009-08-15,"ATM2",110
"427",2009-08-15,"ATM3",0
"428",2009-08-15,"ATM4",773
"429",2009-08-16,"ATM1",115
"430",2009-08-16,"ATM2",68
"431",2009-08-16,"ATM3",0
"432",2009-08-16,"ATM4",261
"433",2009-08-17,"ATM1",112
"434",2009-08-17,"ATM2",60
"435",2009-08-17,"ATM3",0
"436",2009-08-17,"ATM4",358
"437",2009-08-18,"ATM1",132
"438",2009-08-18,"ATM2",92
"439",2009-08-18,"ATM3",0
"440",2009-08-18,"ATM4",17
"441",2009-08-19,"ATM1",94
"442",2009-08-19,"ATM2",22
"443",2009-08-19,"ATM3",0
"444",2009-08-19,"ATM4",335
"445",2009-08-20,"ATM1",24
"446",2009-08-20,"ATM2",11
"447",2009-08-20,"ATM3",0
"448",2009-08-20,"ATM4",26
"449",2009-08-21,"ATM1",122
"450",2009-08-21,"ATM2",121
"451",2009-08-21,"ATM3",0
"452",2009-08-21,"ATM4",255
"453",2009-08-22,"ATM1",104
"454",2009-08-22,"ATM2",89
"455",2009-08-22,"ATM3",0
"456",2009-08-22,"ATM4",358
"457",2009-08-23,"ATM1",128
"458",2009-08-23,"ATM2",62
"459",2009-08-23,"ATM3",0
"460",2009-08-23,"ATM4",1246
"461",2009-08-24,"ATM1",120
"462",2009-08-24,"ATM2",79
"463",2009-08-24,"ATM3",0
"464",2009-08-24,"ATM4",918
"465",2009-08-25,"ATM1",174
"466",2009-08-25,"ATM2",83
"467",2009-08-25,"ATM3",0
"468",2009-08-25,"ATM4",593
